0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:12 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490330 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:12 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490331 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:12 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490332 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:12 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490333 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:12 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490334 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:12 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490335 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:12 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490336 HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:13 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490337 HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:13 +0530] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1498830490338 HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:13 +0530] "GET /jenkins/setupWizard/platformPluginList?_=1498830490339 HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:13 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490340 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:13 +0530] "GET /jenkins/updateCenter/incompleteInstallStatus?_=1498830490341 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:18:13 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490342 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:10 +0530] "GET /jenkins/pluginManager/plugins?_=1498830490343 HTTP/1.1" 200 486532
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:10 +0530] "POST /jenkins/pluginManager/installPlugins HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:10 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490344 HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:10 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490345 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:10 +0530] "GET /jenkins/static/8837540b/css/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.2 HTTP/1.1" 200 71760
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:11 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490346 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:11 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490347 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:11 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490348 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:11 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490349 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:12 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490350 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:12 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490351 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:12 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490352 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:13 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490353 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:13 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490354 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:13 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490355 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:13 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490356 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:14 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490357 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:14 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490358 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:14 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490359 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:14 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490360 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:15 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490361 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:15 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490362 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:15 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490363 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:16 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490364 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:16 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490365 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:16 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490366 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:16 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490367 HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:17 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490368 HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:17 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490369 HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:17 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490370 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:18 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490371 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:18 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490372 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:18 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490373 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:19 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490374 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:19 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490375 HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:19 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490376 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:20 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490377 HTTP/1.1" 200 11126
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:20 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490378 HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:20 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490379 HTTP/1.1" 200 11123
0:0:0:0:0:0:0:1 - - [30/Jun/2017:19:21:21 +0530] "GET /jenkins/updateCenter/installStatus?_=1498830490380 HTTP/1.1" 200 11123
